Title,Year,ActNo
Terrorist Affected Areas (Special Courts) Act[1984],1984,61
Family Courts Act[1984],1984,66
National Capital Region Planning Board Act[1985],1985,2
Calcutta Metro Railway (Operation and Maintenance) Temporary Provisions Act[1985],1985,10
Administrative Tribunals Act[1985],1985,13
Bhopal Gas Leak Disaster (Processing of Claims) Act[1985],1985,21
Handlooms (Reservation of Articles for Production) Act[1985],1985,22
Indira Gandhi National Open University Act[1985],1985,50
Pondicherry University Act[1985],1985,53
Intelligence Organisations (Restriction on Rights) Act[1985],1985,58
Judges (Protection) Act[1985],1985,59
Narcotic Drugs and Psychotropic Substances Act[1985],1985,61
Inland Waterways Authority of India Act[1985],1985,82
Agricultural and Processed Food Products Export Development Authority Act[1986],1986,02
Spices Board Act[1986],1986,10
Muslim Women (Protection of Rights on Divorce) Act[1986],1986,25
Coal Mines Labour Welfare Fund (Repeal) Act[1986],1986,27
Environment (Protection) Act[1986],1986,29
Swadeshi Cotton Mills Company Limited (Acquisition and Transfer of Undertakings) Act[1986],1986,30
State of Mizoram Act[1986],1986,34
National Security Guard Act[1986],1986,47
Dock Workers (Safety Health and Welfare) Act[1986],1986,54
Delhi Apartment Ownership Act[1986],1986,58
Indecent Representation of Women (Prohibition) Act[1986],1986,60
Child and Adolescent Labour (Prohibition and Regulation) Act[1986],1986,61
Consumer Protection Act[1986],1986,68
State of Arunachal Pradesh Act[1986],1986,69
Jute Packaging Materials (Compulsory Use in Packing Commodities) Act[1987],1987,10
Goa Daman and Diu Mining Concession (Abolition and Declaration as Mining Leases) Act[1987],1987,16
Goa Daman and Diu Reorganisation Act[1987],1987,18
Expenditure-tax Act[1987],1987,35
National Dairy Development Board Act[1987],1987,37
Legal Services Authorities Act[1987],1987,39
All India Council for Technical Education Act[1987],1987,52
National Housing Bank Act[1987],1987,53
Railway Claims Tribunal Act[1987],1987,54
Chandigarh (Delegation of Powers) Act[1988],1988,2
Commission of Sati (Prevention) Act[1988],1988,3
Special Protection Group Act[1988],1988,34
Religious Institutions (Prevention of Misuse) Act[1988],1988,41
Bharat Petroleum Corporation Limited (Determination of Conditions of Service of Employees) Act[1988],1988,44
Prohibition of Benami Property Transactions Act[1988],1988,45
Prevention of Illicit Traffic in Narcotic Drugs and Psychotropic Substances Act[1988],1988,46
Prevention of Corruption Act[1988],1988,49
Labour Laws (Exemption from Furnishing Returns and Maintaining Registers by Certain Establishments) Act[1988],1988,51
Auroville Foundation Act[1988],1988,54
Jamia Millia Islamia Act[1988],1988,58
Motor Vehicles Act[1988],1988,59
National Highways Authority of India Act[1988],1988,68
Assam University Act[1989],1989,23
Railways Act[1989],1989,24
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act[1989],1989,33
Nagaland University Act[1989],1989,35
Small Industries Development Bank of India Act[1989],1989,39
National Commission for Women Act[1990],1990,20
Armed Forces (Jammu and Kashmir) Special Powers Act[1990],1990,21
Prasar Bharati (Broadcasting Corporation of India) Act[1990],1990,25
Public Liability Insurance Act[1991],1991,6
Election Commission (Conditions of Service of Election Commissioners and Transaction of Business) Act[1991],1991,11
Remittances of Foreign Exchange and Investment in Foreign Exchange Bonds(Immunities and Exemptions) Act[1991],1991,41
Places of Worship (Special Provisions) Act[1991],1991,42
Government of National Capital Territory of Delhi Act[1991],1991,1992
Destructive Insects and Pests (Amendment and Validation) Act[1992],1992,12
Securities and Exchange Board of India Act[1992],1992,15
Cess and Other Taxes on Minerals (Validation) Act[1992],1992,16
National Commission for Minorities Act[1992],1992,19
Foreign Trade (Development and Regulation) Act[1992],1992,22
Special Court (Trial of Offences Relating to Transactions in Securities) Act[1992],1992,27
Rehabilitation Council of India Act[1992],1992,34
Indo-Tibetan Border Police Force Act[1992],1992,35
Central Agricultural University Act[1992],1992,40
Infant Milk Substitutes Feeding Bottles and Infant Foods (Regulation of Production Supply and Distribution) Act[1992],1992,41
Industrial Finance Corporation (Transfer of Undertaking and Repeal) Act[1993],1993,23
Gold Bonds (Immunities and Exemptions) Act[1993],1993,25
Multimodal Transportation of Goods Act[1993],1993,28
Acquisition of Certain Area at Ayodhya Act[1993],1993,33
SAARC Convention (Suppression of Terrorism) Act[1993],1993,36
Central Laws (Extension to Arunachal Pradesh) Act[1993],1993,44
Tezpur University Act[1993],1993,45
Employment of Manual Scavengers and Construction of Dry Latrines (Prohibition) Act[1993],1993,46
Recovery of Debts Due to Banks and Financial Institutions Act[1993],1993,51
National Commission for Safai Karamcharis Act[1993],1993,64
Oil and Natural Gas Commission (Transfer of Undertaking and Repeal) Act[1993],1993,65
Public Records Act[1993],1993,69
National Council for Teacher Education Act[1993],1993,73
Kalakshetra Foundation Act[1993],1993,1994
Protection of Human Rights Act[1993],1993,1994
Air Corporations (Transfer of Undertakings and Repeal) Act[1994],1994,13
Manipur Panchayati Raj Act[1994],1994,26
Transplantation of Human Organs Act[1994],1994,42
Manipur Municipalities Act[1994],1994,43
New Delhi Municipal Council Act[1994],1994,44
Punjab Municipal Corporation Law (Extension to Chandigarh) Act[1994],1994,45
Airports Authority of India Act[1994],1994,55
Pre-conception and Pre-natal Diagnostic Techniques (Prohibition of Sex Selection) Act[1994],1994,57
Babasaheb Bhimrao Ambedkar University Act[1994],1994,58
Cable Television Networks (Regulation) Act[1995],1995,7
Delhi Rent Act[1995],1995,33
Textile Undertakings (Nationalisation) Act[1995],1995,39
Wakf Act[1995],1995,43
Technology Development Board Act[1995],1995,44
Depositories Act[1996],1996,22
Arbitration and Conciliation Act[1996],1996,26
Building and Other Construction Workers (Regulation of Employment and Conditions of Service) Act[1996],1996,27
Building and Other Construction Workers Welfare Cess Act[1996],1996,28
Provisions of the Panchayats (Extension to the Scheduled Areas) Act[1996],1996,40
Maulana Azad National Urdu University Act[1997],1997,2
Mahatama Gandhi Antarashtriya Hindi Vishwavidyalaya Act[1997],1997,3
Industrial Reconstruction Bank (Transfer of Undertakings and Repeal) Act[1997],1997,7
Lalitkala Akademi (Taking Over of Management) Act[1997],1997,17
Telecom Regulatory Authority of India Act[1997],1997,24
Vice-Presidents Pension Act[1997],1997,30
Dock Workers (Regulation of Employment) (Inapplicability to Major Ports) Act[1997],1997,31
National Institute of Pharmaceutical Education and Research Act[1998],1998,13
Lotteries (Regulation) Act[1998],1998,17
Leaders of Chief Whips of Recognised Parties and Groups in Parliament(Facilities) Act[1999],1999,5
Urban Land (Ceiling and Regulation) Repeal Act[1999],1999,15
Central Industrial Security Force (Amendment and Validation) Act[1999],1999,40
Insurance Regulatory and Development Authority Act[1999],1999,41
Foreign Exchange Management Act[1999],1999,42
National Trust for Welfare of Persons with Autism Cerebral Palsy Mental Retardation and Multiple Disabilities Act[1999],1999,44
Trade Marks Act[1999],1999,47
Geographical Indications of Goods (Registration and Protection) Act[1999],1999,48
Mizoram University Act[2000],2000,8
Designs Act[2000],2000,16
Information Technology Act[2000],2000,21
Madhya Pradesh Reorganisation Act[2000],2000,28
Uttar Pradesh Reorganisation Act[2000],2000,29
Bihar Reorganisation Act[2000],2000,30
Chemical Weapons Convention Act[2000],2000,34
Semiconductor Integrated Circuits Layout-Design Act[2000],2000,37
Coal India (Regulation of Transfer and Validation) Act[2000],2000,45
Immigration (Carriers’ Liability) Act[2000],2000,52
Central Road Fund Act[2000],2000,54
Indian Council of World Affairs Act[2001],2001,29
Advocates’ Welfare Fund Act[2001],2001,45
Energy Conservation Act[2001],2001,52
Protection of Plant Varieties and Farmer’s Right Act[2001],2001,53
Delimitation Act[2002],2002,33
Haj Committee Act[2002],2002,35
Foreign Aircraft (Exemption from Taxes and Duties on Fuel and Lubricnts) Act[2002],2002,36
Multi-State Co-operative Societies Act[2002],2002,39
Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act[2002],2002,54
Unit Trust of India (Transfer of Undertaking and Repeal) Act[2002],2002,58
Metro Railway (Operation and Maintenance) Act[2002],2002,60
Suppression of Unlawful Acts against Safety of Maritime Navigation and Fixed Platforms on Continental Shelf Act[2002],2002,69
Competition Act[2003],2003,12
Control of National Highways (Land and Traffic) Act[2003],2003,13
Prevention of Money Laundering Act[2003],2003,15
Offshore Areas Mineral (Development and Regulation) Act[2003],2003,17
Biological Diversity Act[2003],2003,18
Cigarettes and Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce Production Supply and Distribution) Act[2003],2003,34
Electricity Act[2003],2003,36
Fiscal Responsibility and Budget Management Act[2003],2003,39
Central Vigilance Commission Act[2003],2003,45
Repatriation of Prisoners Act[2003],2003,49
Industrial Development Bank (Transfer of Undertaking and Repeal) Act[2003],2003,53
Sick Industrial Companies (Special Provisions) Repeal Act[2004],2004,01
Prevention of Terrorism (Repeal) Act[2004],2004,26
Parel Investments and Trading Private Limited and Domestic Gas Private Limited (Taking over of Management) Repeal Act[2005],2005,14
Weapons of Mass Destruction and Their Delivery Systems (Prohibition of Unlawful Activities) Act[2005],2005,2005
Right to Information Act[2005],2005,22
Coastal Aquaculture Authority Act[2005],2005,24
University of Allahabad Act[2005],2005,26
Bihar Value Added Tax Act[2005],2005,27
Special Economic Zones Act[2005],2005,28
Private Security Agencies (Regulation) Act[2005],2005,29
Credit Information Companies (Regulation) Act[2005],2005,30
Mahatma Gandhi National Rural Employment Guarantee Act[2005],2005,42
Protection of Women from Domestic Violence Act[2005],2005,43
National Tax Tribunal Act[2005],2005,49
State Emblems of India (Prohibition of Improper Use) Act[2005],2005,50
Disaster Management Act[2005],2005,53
Manipur University Act[2005],2005,54
Andhra Pradesh Legislative Council Act[2006],2006,01
Commissions for Protection of Child Rights Act[2006],2006,04
Petroleum and Natural Gas Regulatory Board Act[2006],2006,19
Delhi Laws (Special Provisions) Act[2006],2006,22
Micro Small and Medium Enterprises Development Act[2006],2006,27
National Institute of Fashion Technology Act[2006],2006,28
Food Safety and Standards Act[2006],2006,34
Actuaries Act[2006],2006,35
Government Securities Act[2006],2006,38
Cantonments Act[2006],2006,41
Pondicherry (Alteration of Name) Act[2006],2006,44
Assam Rifles Act[2006],2006,47
Uttaranchal (Alteration of Name) Act[2006],2006,52
Scheduled Tribes and other Traditional Forest Dwellers (Recognition of Forest Rights) Act[2007],2007,02
Central Educational Institutions (Reservation in Admission) Act[2007],2007,05
Prohibition of Child Marriage Act[2007],2007,06
English and Foreign Languages University Act[2007],2007,07
Rajiv Gandhi University Act[2007],2007,08
Tripura University Act[2007],2007,09
Sikkim University Act[2007],2007,10
Sports Broadcasting Signals (Mandatory Sharing with Prasar Bharti) Act[2007],2007,11
National Rural Employment Guarantee (Extension to Jammu And Kashmir) Act[2007],2007,23
National Institutes of Technology Act[2007],2007,29
Warehousing (Development and Regulation) Act[2007],2007,37
Carriage by Road Act[2007],2007,41
National Capital Territory of Delhi Laws (Special Provisions) Act[2007],2007,43
Tyre Corporation of India Limited (Disinvestment of Ownership) Act[2007],2007,50
Payment of Settlement Systems Act[2007],2007,51
Indira Gandhi National Tribal University Act[2007],2007,52
Sashastra Seema Bal Act[2007],2007,53
Rajiv Gandhi Institute of Petroleum Technology Act[2007],2007,54
Armed Forces Tribunal Act[2007],2007,55
Maintenance and Welfare of Parents and Senior Citizens Act[2007],2007,56
Jawaharlal Institute of Post-Graduate Medical Education and Research Puducherry Act[2008],2008,19
Indian Maritime University Act[2008],2008,22
Airports Economic Regulatory Authority of India Act[2008],2008,27
Unorganised Sector Workers Social Security Act[2008],2008,33
National Investigation Agency Act[2008],2008,34
Gram Nyayalayas Act[2009],2009,04
Limited Liability Partnership Act[2009],2009,06
Collection of Statistics Act[2009],2009,07
South Asian University Act[2009],2009,08
Science and Engineering Research Board Act[2009],2009,09
National Jute Board Act[2009],2009,12
National Capital Territory of Delhi Laws (Special Provisions) Act[2009],2009,24
Central Universities Act[2009],2009,25
Prevention and Control of Infections and Contagious Diseases in Animals Act[2009],2009,27
Right of Children to Free and Compulsory Education Act[2009],2009,35
National Capital Territory of Delhi Laws (Special Provisions) Second Act[2009],2009,40
Legal Metrology Act[2010],2010,01
Tamil Nadu Legislative Council Act[2010],2010,16
National Green Tribunal Act[2010],2010,19
Clinical Establishment (Registration and Regulation) Act[2010],2010,23
Land Port Authority of India Act[2010],2010,31
Civil Liability for Nuclear Damage Act[2010],2010,38
Nalanda University Act[2010],2010,39
Foreign Contribution (Regulation) Act[2010],2010,42
National Capital Territory of Delhi Laws (Special Provision) Act[2011],2011,05
Coinage Act[2011],2011,11
Orissa (Alteration of Name) Act[2011],2011,15
National Capital Territory of Delhi Laws (Special Provision) Second Act[2011],2011,20
Factoring Act[2012],2012,12
Academy of Scientific and Innovation Research Act[2012],2012,13
Protection of Children from Sexual Offences Act[2012],2012,32
Rajiv Gandhi National Institute of Youth Development Act[2012],2012,35
National Institute of Mental Health and Neuro-Sciences Bangalore Act[2012],2012,38
Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act[2013],2013,14
Companies Act[2013],2013,18
National Food Security Act[2013],2013,20
Pension Fund Regulatory and Development Authority Act[2013],2013,23
Prohibition of Employment as Manual Scavengers and their Rehabilitation Act[2013],2013,25
Rajiv Gandhi National Aviation University Act[2013],2013,26
Right to Fair Compensation and Transparency in Land Acquisition Rehabilitation and Resettlement Act[2013],2013,30
Lokpal and Lokayuktas Act[2014],2014,01
Andhra Pradesh Reorganisation Act[2014],2014,06
Street Vendors (Protection of Livelihood and Regulation of Street Vending) Act[2014],2014,07
Rani Lakshmi Bai Central Agricultural University Act[2014],2014,10
Whistle Blowers Protection Act[2014],2014,17
National Institute of Design Act[2014],2014,18
National Judicial Appointments Commission Act[2014],2014,40
Indian Institute of Information Technology Act[2014],2014,30
School of Planning and Architecture Act[2014],2014,37
Coal Mines (Special Provisions) Act[2015],2015,11
Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act[2015],2015,22
Juvenile Justice (Care and Protection of Children) Act[2016],2016,02
Commercial Courts Act[2016],2016,04
Bureau of Indian Standards Act[2016],2016,11
Real Estate (Regulation and Development) Act[2016],2016,16
National Waterways Act[2016],2016,17
Aadhaar (Targeted Delivery of Financial and Other Subsidies Benefits and Services) Act[2016],2016,18
Anti-Hijacking Act[2016],2016,30
Insolvency and Bankruptcy Code[2016],2016,31
 Rajendra Prasad Central Agricultural University Act[2016],2016,32
Regional Centre for Biotechnology Act[2016],2016,36
Compensatory Afforestation Fund Act[2016],2016,38
Rights of Persons with Disabilities Act[2016],2016,49
Specified Bank Notes (Cessation of Liabilities) Act[2017],2017,02
Mental Healthcare Act[2017],2017,10
Central Goods and Services Act[2017],2017,12
Integrated Goods and Services Tax Act[2017],2017,13
Union Territory Goods and Services Tax Act[2017],2017,14
Goods and Services (Compensation to States) Act[2017],2017,15
Human Immunodeficiency Virus and acquired Immune Deficiency Syndrome(Prevention and Control) Act[2017],2017,16
Footwear Design and Development Institute Act[2017],2017,20
Admiralty (Jurisdiction and Settlement of Maritime Claims) Act[2017],2017,22
Indian Institutes of Information Technology (Public-Private Partnership) Act[2017],2017,23
Central Goods and Services Tax (Extension to Jammu and Kashmir) Act[2017],2017,26
Integrated Goods and Services tax (Extension to Jammu and Kashmir) Act[2017],2017,27
Indian Institute of Management Act[2017],2017,33
Indian Institute of Petroleum and Energy Act[2018],2018,03
Fugitive Economic Offenders Act[2018],2018,17
National Commission for Backward Classes (Repeal) Act[2018],2018,24
National Sports University Act[2018],2018,25
Central Education Institutions (Reservation in Teacher’s Cadre) Act[2019],2019,10
New Delhi International Arbitration Centre Act[2019],2019,17
Muslim Women (Protection of Rights on Marriage) Act[2019],2019,20
Banning of Unregulated Deposit Schemes Act[2019],2019,21
National Medical Commission Act[2019],2019,30
Jammu and Kashmir Reorganisation Act[2019],2019,34
Consumer Protection Act[2019],2019,35
Transgender Persons (Protection of Rights) Act[2019],2019,40
Prohibition of Electronic Cigarettes (Production Manufacture Import Export Transport Sale Distribution Storage and Advertisement) Act[2019],2019,42
Dadra and Nagar Haveli And Daman and Diu (Merger of Union Territories) Act[2019],2019,44
National Capital Territory of Delhi (Recognition of Property Rights of Residents in Unauthorised Colonies) Act[2019],2019,45
International Financial Services Centres Authority Act[2019],2019,50
Direct Tax Vivad se Vishwas Act[2020],2020,03
Central Sanskrit Universities Act[2020],2020,05
National Commission for Indian System of Medicine Act[2020],2020,14
National Commission for Homoeopathy Act[2020],2020,15
Institute of Teaching and Research In Ayurveda Act[2020],2020,16
Farmers (Empowerment And Protection) Agreement On Price Assurance And Farm services Act[2020],2020,20
Farmers’ Produce Trade And Commerce (Promotion And Facilitation) Act[2020],2020,21
Jammu and Kashmir Official Languages Act[2020],2020,23
Bilateral Netting Qualified Financial Contracts Act[2020],2020,30
Rashtriya Raksha University Act[2020],2020,31
National Forensic Sciences University Act[2020],2020,32
Code on Social Security Act[2020],2020,36
National Commission For Allied And Healthcare Professions Act[2021],2021,14
National Bank For Financing Infrastructure And Development Act[2021],2021,17
